INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,31/05/2018,00010150.00,PE      ,00000024.25,00000026.50,00000022.85,00000024.30,000000000020850,           136350,             1818,             1001,     1387282957.50,        3330457.50
OPTIDX    ,NIFTY     ,31/05/2018,00010200.00,CE      ,00000497.15,00000503.55,00000466.55,00000476.95,000000000379050,            23100,              308,              246,      246859882.50,       11239882.50
OPTIDX    ,NIFTY     ,31/05/2018,00010200.00,PE      ,00000028.85,00000031.50,00000026.70,00000029.25,000000002129175,          2635125,            35135,            12187,    26954188897.50,       75913897.50
OPTIDX    ,NIFTY     ,31/05/2018,00010250.00,PE      ,00000034.85,00000037.00,00000031.95,00000034.40,000000000043725,           161025,             2147,             1168,     1655993186.25,        5486936.25
OPTIDX    ,NIFTY     ,31/05/2018,00010300.00,CE      ,00000414.50,00000435.00,00000377.00,00000392.80,000000000663300,            58650,              782,              605,      627673950.00,       23578950.00
OPTIDX    ,NIFTY     ,31/05/2018,00010300.00,PE      ,00000035.55,00000044.55,00000035.20,00000041.15,000000002929875,          2819775,            37597,            16950,    29157792746.25,      114110246.25
OPTIDX    ,NIFTY     ,31/05/2018,00010350.00,PE      ,00000046.00,00000052.15,00000044.70,00000048.60,000000000065925,            78600,             1048,              623,      817282942.50,        3772942.50
OPTIDX    ,NIFTY     ,31/05/2018,00010400.00,CE      ,00000329.60,00000331.05,00000296.05,00000309.85,000000000698175,           209700,             2796,             1697,     2246824200.00,       65944200.00
OPTIDX    ,NIFTY     ,31/05/2018,00010400.00,PE      ,00000054.80,00000062.50,00000052.60,00000058.00,000000004103475,          5091225,            67883,            32845,    53238911797.50,      290171797.50
OPTIDX    ,NIFTY     ,31/05/2018,00010450.00,CE      ,00000250.15,00000250.15,00000250.15,00000250.15,000000000005475,              075,              001,              001,         802511.25,          18761.25
OPTIDX    ,NIFTY     ,31/05/2018,00010450.00,PE      ,00000064.05,00000074.00,00000063.40,00000068.75,000000000104625,           130275,             1737,             1120,     1370225685.00,        8851935.00
OPTIDX    ,NIFTY     ,31/05/2018,00010500.00,CE      ,00000263.25,00000263.25,00000225.05,00000237.05,000000000970650,           581550,             7754,             4452,     6245576602.50,      139301602.50
OPTIDX    ,NIFTY     ,31/05/2018,00010500.00,PE      ,00000071.00,00000088.05,00000071.00,00000081.80,000000004808400,          6072675,            80969,            35808,    64251455471.25,      488367971.25
OPTIDX    ,NIFTY     ,31/05/2018,00010550.00,CE      ,00000217.00,00000220.05,00000194.50,00000204.25,000000000024450,            26250,              350,              248,      282318765.00,        5381265.00
OPTIDX    ,NIFTY     ,31/05/2018,00010550.00,PE      ,00000089.70,00000103.80,00000087.95,00000096.40,000000000202350,           403875,             5385,             3240,     4299315581.25,       38434331.25
OPTIDX    ,NIFTY     ,31/05/2018,00010600.00,CE      ,00000189.15,00000193.80,00000163.00,00000172.75,000000001597050,          2375775,            31677,            18966,    25599432116.25,      416217116.25
OPTIDX    ,NIFTY     ,31/05/2018,00010600.00,PE      ,00000086.10,00000123.30,00000086.10,00000114.85,000000003424800,          7183200,            95776,            46091,    76954072342.50,      812152342.50
OPTIDX    ,NIFTY     ,31/05/2018,00010650.00,CE      ,00000165.25,00000168.00,00000135.70,00000143.25,000000000266250,           552900,             7372,             4091,     5968952902.50,       80567902.50
OPTIDX    ,NIFTY     ,31/05/2018,00010650.00,PE      ,00000125.00,00000144.25,00000123.70,00000134.80,000000000162075,           644175,             8589,             4645,     6945680823.75,       85217073.75
OPTIDX    ,NIFTY     ,31/05/2018,00010700.00,CE      ,00000123.50,00000133.80,00000110.40,00000117.35,000000002722275,          8629725,           115063,            54789,    93369811233.75,     1031753733.75
OPTIDX    ,NIFTY     ,31/05/2018,00010700.00,PE      ,00000143.00,00000168.50,00000134.50,00000156.75,000000001914450,          5699625,            75995,            38573,    61867602003.75,      881614503.75
OPTIDX    ,NIFTY     ,31/05/2018,00010750.00,CE      ,00000113.45,00000113.45,00000088.20,00000093.50,000000000284100,           853950,            11386,             6146,     9261748342.50,       81785842.50
OPTIDX    ,NIFTY     ,31/05/2018,00010750.00,PE      ,00000168.00,00000194.50,00000167.85,00000182.20,000000000069150,           126975,             1693,             1074,     1387689386.25,       22708136.25
OPTIDX    ,NIFTY     ,31/05/2018,00010800.00,CE      ,00000089.95,00000089.95,00000068.05,00000072.50,000000003804300,          7784700,           103796,            44515,    84653771958.75,      579011958.75
OPTIDX    ,NIFTY     ,31/05/2018,00010800.00,PE      ,00000179.60,00000226.35,00000179.60,00000212.00,000000000818850,          1263150,            16842,             8967,    13906872543.75,      264852543.75
OPTIDX    ,NIFTY     ,31/05/2018,00010850.00,CE      ,00000060.00,00000061.95,00000051.55,00000054.75,000000000186525,           346500,             4620,             2649,     3779152567.50,       19627567.50
OPTIDX    ,NIFTY     ,31/05/2018,00010850.00,PE      ,00000226.15,00000253.35,00000226.15,00000243.70,000000000006000,             6225,              083,              077,       69028515.00,        1487265.00
OPTIDX    ,NIFTY     ,31/05/2018,00010900.00,CE      ,00000041.50,00000047.80,00000038.20,00000041.00,000000003333525,          6084750,            81130,            34910,    66577953045.00,      254178045.00
OPTIDX    ,NIFTY     ,31/05/2018,00010900.00,PE      ,00000256.60,00000294.15,00000256.60,00000279.40,000000000618075,           266625,             3555,             2298,     2979332553.75,       73120053.75
OPTIDX    ,NIFTY     ,31/05/2018,00010950.00,CE      ,00000037.00,00000037.00,00000027.80,00000030.00,000000000083700,           212400,             2832,             1619,     2332270788.75,        6490788.75
OPTIDX    ,NIFTY     ,31/05/2018,00011000.00,CE      ,00000025.70,00000025.70,00000019.50,00000021.45,000000005792025,          6608025,            88107,            25870,    72831695745.00,      143420745.00
OPTIDX    ,NIFTY     ,31/05/2018,00011000.00,PE      ,00000334.25,00000372.00,00000334.00,00000357.65,000000000972825,           287550,             3834,             2162,     3264014778.75,      100964778.75
OPTIDX    ,NIFTY     ,31/05/2018,00011050.00,CE      ,00000016.50,00000016.85,00000013.75,00000014.80,000000000109275,           185550,             2474,             1187,     2053184362.50,        2856862.50
OPTIDX    ,NIFTY     ,31/05/2018,00011100.00,CE      ,00000012.55,00000012.55,00000009.40,00000010.05,000000001278750,          2647425,            35299,            11083,    29414066010.00,       27648510.00
OPTIDX    ,NIFTY     ,31/05/2018,00011100.00,PE      ,00000422.05,00000459.60,00000421.95,00000445.00,000000000104550,            15675,              209,              168,      180883642.50,        6891142.50
OPTIDX    ,NIFTY     ,31/05/2018,00011150.00,CE      ,00000008.45,00000008.50,00000006.80,00000007.20,000000000070425,            72150,              962,              635,      805019550.00,         547050.00
OPTIDX    ,NIFTY     ,31/05/2018,00011200.00,CE      ,00000007.30,00000007.30,00000004.95,00000005.25,000000001477125,          2031975,            27093,             8759,    22769358885.00,       11238885.00
OPTIDX    ,NIFTY     ,31/05/2018,00011200.00,PE      ,00000513.50,00000553.00,00000513.45,00000538.20,000000000246450,            15075,              201,              154,      176854473.75,        8014473.75
OPTIDX    ,NIFTY     ,31/05/2018,00011250.00,CE      ,00000001.20,00000005.75,00000001.20,00000004.05,000000000035175,            18075,              241,              090,      203424333.75,          80583.75
OPTIDX    ,NIFTY     ,31/05/2018,00011300.00,CE      ,00000003.30,00000003.30,00000002.70,00000002.85,000000000653025,           780000,            10400,             4581,     8816310712.50,        2310712.50
OPTIDX    ,NIFTY     ,31/05/2018,00011300.00,PE      ,00000622.00,00000648.70,00000618.25,00000635.30,000000000188325,             3525,              047,              042,       42068306.25,        2235806.25
OPTIDX    ,NIFTY     ,31/05/2018,00011350.00,CE      ,00000003.45,00000003.45,00000003.45,00000003.45,000000000003225,              075,              001,              001,         851508.75,            258.75
OPTIDX    ,NIFTY     ,31/05/2018,00011400.00,CE      ,00000002.35,00000002.40,00000001.80,00000002.00,000000000149100,           232650,             3102,             1557,     2652669551.25,         459551.25
OPTIDX    ,NIFTY     ,31/05/2018,00011400.00,PE      ,00000708.95,00000746.75,00000707.40,00000733.45,000000000062475,             8325,              111,              097,      100958070.00,        6053070.00
OPTIDX    ,NIFTY     ,31/05/2018,00011500.00,CE      ,00000002.80,00000002.80,00000001.60,00000001.65,000000001121850,           564225,             7523,             5683,     6489526218.75,         938718.75
OPTIDX    ,NIFTY     ,31/05/2018,00011500.00,PE      ,00000803.35,00000844.85,00000803.35,00000830.45,000000000667500,            29400,              392,              294,      362381658.75,       24281658.75
OPTIDX    ,NIFTY     ,31/05/2018,00011600.00,CE      ,00000001.45,00000001.50,00000001.20,00000001.30,000000000069375,             2925,              039,              014,       33933978.75,           3978.75
OPTIDX    ,NIFTY     ,31/05/2018,00011700.00,CE      ,00000001.25,00000001.25,00000000.60,00000000.85,000000000043575,            13950,              186,              032,      163228200.00,          13200.00
